Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
97,Davon Reed,Jan 14 '18 PHO vs. IND,22,1,21,242,22,76,11,38,8,12,2,39,13,10,2,10,17,63,.289,.289,.667,11.5,3.0,1.9,0.6,reedda01
98,Devin Robinson,Apr 11 '18 WAS @ ORL,22,1,1,13,1,3,0,0,0,0,2,5,0,1,0,0,2,2,.333,,,13.0,2.0,5.0,0.0,robinde01
99,Ben Simmons,Oct 18 '17 PHI @ WAS,21,1,81,2732,544,998,0,11,191,341,145,659,661,140,70,278,211,1279,.545,.000,.560,33.7,15.8,8.1,8.2,simmobe01
100,Kobi Simmons,Nov 29 '17 MEM @ SAS,20,1,32,643,80,189,11,39,25,25,14,50,68,18,5,44,61,196,.423,.282,1.000,20.1,6.1,1.6,2.1,simmoko01
101,Dennis Smith Jr.,Oct 18 '17 DAL vs. ATL,20,1,69,2049,404,1024,106,339,134,193,50,260,358,71,18,194,152,1048,.395,.313,.694,29.7,15.2,3.8,5.2,smithde03
102,Edmond Sumner,Apr 10 '18 IND vs. CHO,22,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,1,2,1.000,,,2.0,2.0,1.0,0.0,sumneed01
103,Caleb Swanigan,Oct 18 '17 POR @ PHO,20,1,27,189,24,60,1,8,12,18,15,54,14,5,3,18,37,61,.400,.125,.667,7.0,2.3,2.0,0.5,swanica01
104,Jayson Tatum,Oct 17 '17 BOS @ CLE,19,1,80,2443,397,835,105,242,213,258,50,402,128,83,58,114,170,1112,.475,.434,.826,30.5,13.9,5.0,1.6,tatumja01
105,Miloš Teodosić,Oct 19 '17 LAC @ LAL,30,1,45,1134,151,360,88,232,39,46,16,126,209,23,5,97,103,429,.419,.379,.848,25.2,9.5,2.8,4.6,teodomi01
106,Daniel Theis,Oct 18 '17 BOS vs. MIL,25,1,63,936,126,233,18,58,61,81,90,274,56,30,48,56,157,331,.541,.310,.753,14.9,5.3,4.3,0.9,theisda01
107,Sindarius Thornwell,Oct 19 '17 LAC @ LAL,23,1,73,1156,100,233,23,61,59,88,33,140,68,48,25,53,125,282,.429,.377,.670,15.8,3.9,1.9,0.9,thornsi01
108,Tyrone Wallace,Jan 6 '18 LAC vs. GSW,23,1,30,851,110,247,10,40,61,78,21,105,71,27,13,46,83,291,.445,.250,.782,28.4,9.7,3.5,2.4,wallaty01
109,Derrick Walton,Nov 6 '17 MIA @ GSW,22,1,16,147,8,25,7,17,6,6,2,16,16,7,3,2,7,29,.320,.412,1.000,9.2,1.8,1.0,1.0,waltode01
110,Jameel Warney,Mar 11 '18 DAL vs. HOU,24,1,3,27,7,12,0,0,3,5,4,9,0,0,0,1,2,17,.583,,.600,9.0,5.7,3.0,0.0,warneja01
111,James Webb III,Jan 27 '18 BRK @ MIN,24,1,10,120,6,24,4,19,0,0,8,24,4,1,0,4,10,16,.250,.211,,12.0,1.6,2.4,0.4,webbja01
112,Andrew White,Feb 14 '18 ATL @ DET,24,1,15,209,25,73,18,49,1,4,4,34,6,3,1,8,12,69,.342,.367,.250,13.9,4.6,2.3,0.4,whitean01
113,Derrick White,Oct 18 '17 SAS vs. MIN,23,1,17,139,16,33,8,13,14,20,5,26,9,4,3,6,8,54,.485,.615,.700,8.2,3.2,1.5,0.5,whitede01
114,Jacob Wiley,Oct 29 '17 BRK vs. DEN,23,1,5,33,1,4,1,2,1,2,2,11,2,1,0,0,4,4,.250,.500,.500,6.6,0.8,2.2,0.4,wileyja01
115,C.J. Williams,Nov 10 '17 LAC @ OKC,27,1,38,707,87,197,22,78,13,16,12,56,43,31,13,20,63,209,.442,.282,.813,18.6,5.5,1.5,1.1,willicj01
116,Matt Williams,Dec 23 '17 MIA vs. NOP,24,1,3,11,2,6,1,5,0,0,0,1,0,0,0,1,1,5,.333,.200,,3.7,1.7,0.3,0.0,willima05
117,D.J. Wilson,Oct 20 '17 MIL vs. CLE,21,1,22,71,9,16,2,5,1,2,2,10,3,3,1,4,7,21,.563,.400,.500,3.2,1.0,0.5,0.1,wilsodj01
118,Jamil Wilson,Nov 20 '17 LAC @ NYK,27,1,15,274,38,81,27,63,2,4,3,32,10,5,8,8,34,105,.469,.429,.500,18.3,7.0,2.1,0.7,wilsoja02
119,Guerschon Yabusele,Oct 20 '17 BOS @ PHI,22,1,33,235,26,61,12,37,15,22,17,52,16,4,5,12,23,79,.426,.324,.682,7.1,2.4,1.6,0.5,yabusgu01
120,Ante Žižić,Oct 21 '17 CLE vs. ORL,21,1,32,214,49,67,0,0,21,29,24,60,5,2,13,11,30,119,.731,,.724,6.7,3.7,1.9,0.2,zizican01
