Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
1,Santi Aldama,Oct 27 '21 MEM @ POR,21,1,32,360,53,132,6,48,20,32,33,87,21,6,10,16,36,132,.402,.125,.625,11.3,4.1,2.7,0.7,aldamsa01
2,Jose Alvarado,Nov 3 '21 NOP @ SAC,23,1,54,834,131,294,32,110,36,53,25,100,152,71,7,40,73,330,.446,.291,.679,15.4,6.1,1.9,2.8,alvarjo01
3,Joel Ayayi,Oct 25 '21 WAS @ BRK,21,1,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,.167,.000,,2.9,0.3,0.4,0.6,ayayijo01
4,Dalano Banton,Oct 20 '21 TOR vs. WAS,22,1,64,696,83,202,13,51,26,44,38,124,99,28,10,53,68,205,.411,.255,.591,10.9,3.2,1.9,1.5,bantoda01
5,Cat Barber,Dec 25 '21 ATL @ NYK,27,1,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,.000,,.000,4.3,0.0,1.0,1.0,barbeca01
6,Scottie Barnes,Oct 20 '21 TOR vs. WAS,20,1,74,2617,459,932,58,193,158,215,195,557,256,80,55,136,192,1134,.492,.301,.735,35.4,15.3,7.5,3.5,barnesc01
7,Paris Bass,Jan 2 '22 PHO @ CHO,26,1,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,.333,.000,1.000,3.5,3.0,2.0,0.0,basspa01
8,Charles Bassey,Oct 20 '21 PHI @ NOP,21,1,23,168,30,47,0,4,9,12,22,62,7,5,17,8,32,69,.638,.000,.750,7.3,3.0,2.7,0.3,bassech01
9,Leandro Bolmaro,Oct 20 '21 MIN vs. HOU,21,1,35,241,17,54,5,18,11,13,16,43,21,6,0,13,26,50,.315,.278,.846,6.9,1.4,1.2,0.6,bolmale01
10,Brandon Boston Jr.,Oct 25 '21 LAC vs. POR,20,1,51,760,125,325,34,111,59,72,17,111,51,26,13,31,43,343,.385,.306,.819,14.9,6.7,2.2,1.0,bostobr01
11,James Bouknight,Oct 22 '21 CHO @ CLE,21,1,31,304,49,141,17,49,27,31,22,52,26,7,1,15,29,142,.348,.347,.871,9.8,4.6,1.7,0.8,bouknja01
12,Chaundee Brown Jr.,Dec 17 '21 LAL @ MIN,23,1,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,.313,.333,.833,20.8,6.2,3.2,0.8,brownch05
13,Greg Brown III,Oct 23 '21 POR vs. PHO,20,1,48,640,81,190,19,61,44,65,38,135,35,26,24,36,90,225,.426,.311,.677,13.3,4.7,2.8,0.7,browngr01
14,Shaq Buchanan,Dec 26 '21 MEM @ SAC,25,1,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,.250,.000,,5.0,1.0,1.0,1.0,buchash01
15,Jared Butler,Oct 20 '21 UTA vs. OKC,21,1,42,360,61,151,28,88,11,16,5,45,63,17,8,33,47,161,.404,.318,.688,8.6,3.8,1.1,1.5,butleja02
16,Ahmad Caver,Jan 5 '22 IND vs. BRK,25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0,caverah01
17,Justin Champagnie,Oct 22 '21 TOR @ BOS,20,1,36,281,31,67,10,28,9,9,37,72,11,8,4,8,32,81,.463,.357,1.000,7.8,2.3,2.0,0.3,champju01
18,Josh Christopher,Oct 20 '21 HOU @ MIN,20,1,74,1334,224,500,56,189,83,113,52,186,150,65,13,114,97,587,.448,.296,.735,18.0,7.9,2.5,2.0,chrisjo01
19,Sharife Cooper,Oct 21 '21 ATL vs. DAL,20,1,13,39,3,14,1,6,0,0,0,5,5,0,0,5,1,7,.214,.167,,3.0,0.5,0.4,0.4,coopesh01
20,Petr Cornelie,Oct 25 '21 DEN vs. CLE,26,1,13,38,5,15,1,8,3,4,7,14,3,1,1,4,7,14,.333,.125,.750,2.9,1.1,1.1,0.2,cornepe01
21,Jarron Cumberland,Dec 27 '21 POR vs. DAL,24,1,3,12,1,2,0,1,0,0,1,3,1,0,0,0,2,2,.500,.000,,4.0,0.7,1.0,0.3,cumbeja01
22,Cade Cunningham,Oct 30 '21 DET vs. ORL,20,1,64,2088,429,1031,114,363,142,168,58,354,356,78,43,234,200,1114,.416,.314,.845,32.6,17.4,5.5,5.6,cunnica01
23,Javin DeLaurier,Jan 1 '22 MIL vs. NOP,23,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,,3.0,0.0,1.0,0.0,delauja01
24,Ayo Dosunmu,Oct 20 '21 CHI @ DET,22,1,77,2110,278,535,70,186,53,78,27,214,256,60,29,108,182,679,.520,.376,.679,27.4,8.8,2.8,3.3,dosunay01
25,Jeff Dowtin,Nov 3 '21 GSW vs. CHO,24,1,9,108,8,26,1,9,2,2,8,18,10,5,1,5,5,19,.308,.111,1.000,12.0,2.1,2.0,1.1,dowtije01
