Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
1,Ochai Agbaji,Oct 19 '22 UTA vs. DEN,22,1,59,1209,165,386,81,228,56,69,43,121,67,16,15,41,99,467,.427,.355,.812,20.5,7.9,2.1,1.1,agbajoc01
2,Patrick Baldwin Jr.,Oct 30 '22 GSW @ DET,20,1,31,226,43,109,32,84,4,6,1,40,11,6,4,11,14,122,.394,.381,.667,7.3,3.9,1.3,0.4,baldwpa01
3,Paolo Banchero,Oct 19 '22 ORL @ DET,20,1,72,2430,479,1122,85,285,394,534,84,497,269,60,39,200,160,1437,.427,.298,.738,33.8,20.0,6.9,3.7,banchpa01
4,Dominick Barlow,Nov 2 '22 SAS vs. TOR,19,1,28,408,46,86,0,4,18,25,46,102,24,10,19,15,56,110,.535,.000,.720,14.6,3.9,3.6,0.9,barlodo01
5,MarJon Beauchamp,Oct 22 '22 MIL vs. HOU,22,1,52,701,96,243,47,142,27,37,38,115,35,21,7,45,71,266,.395,.331,.730,13.5,5.1,2.2,0.7,beaucma01
6,Buddy Boeheim,Oct 21 '22 DET @ NYK,23,1,10,90,5,27,4,25,2,2,2,6,4,2,0,0,6,16,.185,.160,1.000,9.0,1.6,0.6,0.4,boehebu01
7,Jamaree Bouyea,Feb 10 '23 MIA vs. HOU,23,1,5,71,6,14,2,6,1,2,1,6,4,4,2,4,6,15,.429,.333,.500,14.2,3.0,1.2,0.8,bouyeja01
8,Malaki Branham,Oct 30 '22 SAS vs. MIN,19,1,66,1550,269,611,77,255,58,70,28,181,127,33,7,76,115,673,.440,.302,.829,23.5,10.2,2.7,1.9,branhma01
9,Christian Braun,Oct 19 '22 DEN @ UTA,21,1,76,1181,143,289,34,96,40,64,48,181,59,41,17,35,101,360,.495,.354,.625,15.5,4.7,2.4,0.8,braunch01
10,Kendall Brown,Nov 23 '22 IND vs. MIN,19,1,6,40,4,7,0,1,1,2,2,6,3,4,0,2,9,9,.571,.000,.500,6.7,1.5,1.0,0.5,brownke03
11,John Butler,Nov 5 '22 POR @ PHO,20,1,19,221,17,53,8,35,3,4,3,17,11,7,9,1,22,45,.321,.229,.750,11.6,2.4,0.9,0.6,butlejo01
12,Jamal Cain,Nov 12 '22 MIA vs. CHO,23,1,18,240,37,66,7,20,17,22,15,52,12,11,1,6,21,98,.561,.350,.773,13.3,5.4,2.9,0.7,cainja01
13,Julian Champagnie,Nov 22 '22 PHI vs. BRK,21,1,17,320,59,130,33,82,14,17,10,60,10,6,5,11,26,165,.454,.402,.824,18.8,9.7,3.5,0.6,champju02
14,Kennedy Chandler,Oct 22 '22 MEM @ DAL,20,1,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,.422,.133,.462,7.8,2.2,1.1,1.6,chandke01
15,Max Christie,Oct 18 '22 LAL @ GSW,19,1,41,512,44,106,26,62,14,16,7,75,21,9,7,13,33,128,.415,.419,.875,12.5,3.1,1.8,0.5,chrisma02
16,Chance Comanche,Apr 9 '23 POR vs. GSW,26,1,1,21,3,5,0,0,1,4,2,3,0,0,1,0,0,7,.600,,.250,21.0,7.0,3.0,0.0,comanch01
17,Xavier Cooks,Mar 18 '23 WAS vs. SAC,27,1,10,126,17,28,0,1,4,10,16,38,6,6,4,8,13,38,.607,.000,.400,12.6,3.8,3.8,0.6,cooksxa01
18,Dyson Daniels,Oct 19 '22 NOP @ BRK,19,1,59,1042,87,208,27,86,26,40,36,188,134,43,11,57,99,227,.418,.314,.650,17.7,3.8,3.2,2.3,daniedy01
19,Johnny Davis,Oct 25 '22 WAS vs. DET,20,1,28,423,66,171,17,70,14,27,10,65,28,10,8,17,48,163,.386,.243,.519,15.1,5.8,2.3,1.0,davisjo06
20,JD Davison,Nov 11 '22 BOS vs. DEN,20,1,12,66,8,19,2,7,1,2,2,9,11,2,2,4,5,19,.421,.286,.500,5.5,1.6,0.8,0.9,davisjd01
