Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
66,Julius Randle,Oct 28 '14 LAL vs. HOU,20,10,618,19691,4231,9017,705,2111,2475,3325,1216,5805,2282,430,261,1714,1911,11642,.469,.334,.744,31.9,18.8,9.4,3.7,randlju01
67,Glenn Robinson III,Nov 14 '14 MIN @ NOP,21,7,304,5299,689,1508,193,518,233,299,204,776,238,149,58,155,281,1804,.457,.373,.779,17.4,5.9,2.6,0.8,robingl02
68,Damjan Rudež,Oct 29 '14 IND vs. PHI,28,3,146,1638,175,413,106,284,24,31,18,92,84,31,7,69,143,480,.424,.373,.774,11.2,3.3,0.6,0.6,rudezda01
69,JaKarr Sampson,Oct 29 '14 PHI @ IND,21,6,236,3549,483,1026,60,242,207,309,154,628,161,91,110,188,449,1233,.471,.248,.670,15.0,5.2,2.7,0.7,sampsja02
70,Marcus Smart,Oct 29 '14 BOS vs. BRK,20,10,592,17770,2116,5468,929,2880,1117,1437,484,2085,2755,936,218,1119,1540,6278,.387,.323,.777,30.0,10.6,3.5,4.7,smartma01
71,Russ Smith,Nov 4 '14 NOP vs. CHO,23,2,27,131,15,47,3,16,20,26,2,15,19,8,1,19,18,53,.319,.188,.769,4.9,2.0,0.6,0.7,smithru01
72,Nik Stauskas,Oct 29 '14 SAC vs. GSW,21,6,343,6701,770,1981,400,1131,350,431,78,691,515,139,80,340,426,2290,.389,.354,.812,19.5,6.7,2.0,1.5,stausni01
73,David Stockton,Feb 21 '15 SAC @ LAC,23,2,6,42,4,9,3,5,7,10,0,2,9,2,0,5,4,18,.444,.600,.700,7.0,3.0,0.3,1.5,stockda01
74,Jarnell Stokes,Nov 17 '14 MEM vs. HOU,21,3,28,151,25,43,0,0,17,32,18,40,7,7,5,7,29,67,.581,,.531,5.4,2.4,1.4,0.3,stokeja01
75,Noah Vonleh,Nov 15 '14 CHO @ GSW,19,8,362,5854,651,1417,93,303,290,419,488,1790,264,139,144,278,645,1685,.459,.307,.692,16.2,4.7,4.9,0.7,vonleno01
76,T.J. Warren,Nov 9 '14 PHO vs. GSW,21,8,374,10240,2256,4461,269,759,675,865,475,1493,437,349,180,361,856,5456,.506,.354,.780,27.4,14.6,4.0,1.2,warretj01
77,David Wear,Mar 30 '15 SAC @ MEM,24,1,2,7,0,2,0,1,0,0,2,2,1,0,0,0,1,0,.000,.000,,3.5,0.0,1.0,0.5,wearda01
78,Travis Wear,Oct 29 '14 NYK vs. CHI,24,2,68,900,109,281,28,77,28,34,31,144,47,19,16,41,85,274,.388,.364,.824,13.2,4.0,2.1,0.7,weartr01
79,Shayne Whittington,Nov 8 '14 IND vs. WAS,23,2,27,149,24,53,1,8,19,25,15,41,9,6,3,10,25,68,.453,.125,.760,5.5,2.5,1.5,0.3,whittsh01
80,Andrew Wiggins,Oct 29 '14 MIN @ MEM,19,10,656,22689,4633,10334,945,2685,2195,3055,840,2927,1502,646,434,1281,1456,12406,.448,.352,.718,34.6,18.9,4.5,2.3,wiggian01
81,C.J. Wilcox,Dec 3 '14 LAC vs. ORL,24,3,66,376,50,135,19,57,13,16,6,31,30,15,4,18,30,132,.370,.333,.813,5.7,2.0,0.5,0.5,wilcocj01
82,James Young,Nov 1 '14 BOS @ HOU,19,4,95,812,77,210,38,137,27,48,19,96,28,24,5,15,58,219,.367,.277,.563,8.5,2.3,1.0,0.3,youngja01
