Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
1,Jordan Adams,Nov 3 '14 MEM vs. NOP,20,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,.402,.385,.607,8.2,3.2,0.9,0.6,adamsjo01
2,Furkan Aldemir,Dec 15 '14 PHI vs. BOS,23,1,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,.513,.000,.481,13.2,2.3,4.3,0.7,aldemfu01
3,Kyle Anderson,Nov 6 '14 SAS @ HOU,21,10,596,13062,1629,3389,257,757,656,919,457,2671,1588,606,380,619,930,4171,.481,.339,.714,21.9,7.0,4.5,2.7,anderky01
4,Cameron Bairstow,Oct 29 '14 CHI @ NYK,24,2,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,.296,.200,.846,4.6,1.2,1.0,0.2,bairsca01
5,Jerrelle Benimon,Mar 10 '15 UTA vs. NYK,23,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0.0,1.5,0.0,benimje01
6,Sim Bhullar,Apr 7 '15 SAC vs. MIN,22,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,.500,,,1.0,0.7,0.3,0.3,bhullsi01
7,Tarik Black,Oct 28 '14 HOU @ LAL,23,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,.550,.143,.582,15.1,4.9,4.7,0.5,blackta01
8,Bojan Bogdanović,Oct 29 '14 BRK @ BOS,25,10,667,19568,3598,7816,1394,3536,1829,2120,360,2418,1111,377,50,1112,1095,10419,.460,.394,.863,29.3,15.6,3.6,1.7,bogdabo02
9,Jabari Brown,Mar 12 '15 LAL vs. NYK,22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,.412,.371,.753,29.9,11.9,1.9,2.1,brownja01
10,Markel Brown,Nov 22 '14 BRK @ SAS,23,3,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584,.380,.295,.781,15.9,5.2,2.1,1.2,brownma02
11,Bruno Caboclo,Nov 21 '14 TOR vs. MIL,19,7,105,1293,162,402,62,201,56,67,82,268,72,36,59,69,135,442,.403,.308,.836,12.3,4.2,2.6,0.7,cabocbr01
12,Clint Capela,Nov 6 '14 HOU vs. SAS,20,10,559,14930,3009,4814,0,4,869,1618,2034,5978,549,388,830,602,1349,6887,.625,.000,.537,26.7,12.3,10.7,1.0,capelca01
13,Will Cherry,Nov 7 '14 CLE @ DEN,23,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,.263,.222,.500,8.6,1.9,0.6,1.0,cherrwi01
14,Patrick Christopher,Dec 27 '14 UTA vs. PHI,26,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,.250,.000,,7.3,1.5,1.5,0.0,chrispa01
15,Jordan Clarkson,Oct 28 '14 LAL vs. HOU,22,10,680,18765,4068,9273,1258,3733,1409,1706,597,2281,1890,564,104,1241,1160,10803,.439,.337,.826,27.6,15.9,3.4,2.8,clarkjo01
16,Jack Cooley,Feb 27 '15 UTA @ DEN,23,2,23,174,22,49,0,0,23,40,24,55,7,7,3,6,36,67,.449,,.575,7.6,2.9,2.4,0.3,cooleja01
17,Bryce Cotton,Feb 27 '15 UTA @ DEN,22,2,23,198,33,79,7,23,15,18,3,18,18,7,0,17,8,88,.418,.304,.833,8.6,3.8,0.8,0.8,cottobr01
18,Andre Dawkins,Nov 1 '14 MIA @ PHI,23,1,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,.167,.167,,5.5,0.8,0.5,0.3,dawkian01
19,Spencer Dinwiddie,Oct 29 '14 DET @ DEN,21,10,488,13627,2195,5275,782,2349,1563,1968,218,1524,2589,345,131,853,1124,6735,.416,.333,.794,27.9,13.8,3.1,5.3,dinwisp01
20,Zoran Dragić,Nov 15 '14 PHO @ LAC,25,1,16,75,11,30,3,14,3,5,5,8,5,2,0,5,6,28,.367,.214,.600,4.7,1.8,0.5,0.3,dragizo01
21,Larry Drew II,Jan 16 '15 PHI vs. NOP,24,2,22,289,27,82,7,35,2,3,4,18,55,6,0,28,19,63,.329,.200,.667,13.1,2.9,0.8,2.5,drewla02
22,Cleanthony Early,Oct 29 '14 NYK vs. CHI,23,2,56,801,88,254,26,99,39,52,26,123,42,26,15,49,73,241,.346,.263,.750,14.3,4.3,2.2,0.8,earlycl01
23,James Ennis III,Oct 29 '14 MIA vs. WAS,24,8,395,8022,907,1985,317,880,498,625,393,1306,373,244,113,303,792,2629,.457,.360,.797,20.3,6.7,3.3,0.9,ennisja01
24,Tyler Ennis,Oct 29 '14 PHO vs. LAL,20,4,186,2336,320,763,66,208,73,95,48,250,359,98,18,171,233,779,.419,.317,.768,12.6,4.2,1.3,1.9,ennisty01
25,Dante Exum,Oct 29 '14 UTA vs. HOU,19,7,265,4845,566,1360,182,584,222,294,104,497,562,111,48,318,454,1536,.416,.312,.755,18.3,5.8,1.9,2.1,exumda01
26,Tim Frazier,Feb 6 '15 PHI @ BOS,24,8,289,5088,515,1286,131,405,251,347,139,654,1142,193,26,379,517,1412,.400,.323,.723,17.6,4.9,2.3,4.0,fraziti01
27,Langston Galloway,Jan 7 '15 NYK @ WAS,23,8,452,9840,1304,3286,639,1738,409,501,212,1106,732,304,64,269,704,3656,.397,.368,.816,21.8,8.1,2.4,1.6,gallola01
28,Aaron Gordon,Oct 28 '14 ORL @ NOP,19,10,617,18021,3148,6655,657,2035,1313,1928,1066,3909,1592,463,401,923,1220,8266,.473,.323,.681,29.2,13.4,6.3,2.6,gordoaa01
29,Drew Gordon,Nov 13 '14 PHI @ DAL,24,1,9,71,8,19,0,3,1,2,7,18,2,1,0,8,7,17,.421,.000,.500,7.9,1.9,2.0,0.2,gordodr01
30,Jerami Grant,Nov 29 '14 PHI vs. DAL,20,10,637,17364,2754,6054,771,2134,1760,2375,555,2545,939,415,685,780,1457,8039,.455,.361,.741,27.3,12.6,4.0,1.5,grantje01
31,Erick Green,Nov 7 '14 DEN vs. CLE,23,2,52,452,66,175,15,52,12,14,10,37,42,13,0,14,30,159,.377,.288,.857,8.7,3.1,0.7,0.8,greener01
32,JaMychal Green,Jan 18 '15 SAS vs. UTA,24,9,544,10933,1579,3311,430,1170,620,791,891,2986,496,298,226,570,1389,4208,.477,.368,.784,20.1,7.7,5.5,0.9,greenja01
33,P.J. Hairston,Nov 4 '14 CHO @ NOP,22,2,111,2000,232,677,119,404,81,100,47,266,59,53,24,63,198,664,.343,.295,.810,18.0,6.0,2.4,0.5,hairspj02
34,Gary Harris,Nov 14 '14 DEN @ IND,20,10,534,15050,2236,4994,826,2237,765,939,314,1294,1057,608,118,594,957,6063,.448,.369,.815,28.2,11.4,2.4,2.0,harriga01
35,Joe Harris,Oct 31 '14 CLE @ CHI,23,10,496,12229,1886,3936,1022,2343,376,487,263,1515,786,240,94,521,1002,5170,.479,.436,.772,24.7,10.4,3.1,1.6,harrijo01
36,Rodney Hood,Oct 29 '14 UTA vs. HOU,22,8,448,10977,1688,4023,647,1770,633,753,158,1160,736,301,80,426,855,4656,.420,.366,.841,24.5,10.4,2.6,1.6,hoodro01
37,Joe Ingles,Oct 29 '14 UTA vs. HOU,27,10,659,16633,1951,4357,1178,2884,448,578,212,2106,2443,595,99,1002,1210,5528,.448,.408,.775,25.2,8.4,3.2,3.7,inglejo01
38,Cory Jefferson,Oct 29 '14 BRK @ BOS,24,2,58,581,84,189,2,16,35,60,53,161,16,10,22,20,69,205,.444,.125,.583,10.0,3.5,2.8,0.3,jeffeco01
39,Grant Jerrett,Nov 28 '14 OKC vs. NYK,21,1,8,51,7,26,1,15,1,1,2,9,3,2,2,3,11,16,.269,.067,1.000,6.4,2.0,1.1,0.4,jerregr01
40,Nick Johnson,Nov 1 '14 HOU vs. BOS,22,1,28,262,26,75,5,21,17,25,13,39,11,7,3,19,34,74,.347,.238,.680,9.4,2.6,1.4,0.4,johnsni01
41,Tyler Johnson,Jan 14 '15 MIA @ GSW,22,8,354,8709,1246,2924,438,1217,539,692,187,1069,813,288,140,373,637,3469,.426,.360,.779,24.6,9.8,3.0,2.3,johnsty01
42,Sean Kilpatrick,Mar 19 '15 MIN @ NYK,25,4,157,3082,545,1319,194,579,332,385,40,429,236,73,13,206,191,1616,.413,.335,.862,19.6,10.3,2.7,1.5,kilpase01
43,Alex Kirk,Nov 4 '14 CLE @ POR,23,1,5,14,1,4,0,0,2,2,1,1,1,0,0,0,1,4,.250,,1.000,2.8,0.8,0.2,0.2,kirkal01
44,Joffrey Lauvergne,Feb 22 '15 DEN @ OKC,23,4,208,2823,477,995,49,172,156,217,239,789,180,55,34,165,286,1159,.479,.285,.719,13.6,5.6,3.8,0.9,lauvejo01
45,Zach LaVine,Oct 30 '14 MIN vs. DET,19,10,573,18622,4189,9030,1278,3345,2101,2519,269,2309,2248,509,167,1501,1235,11757,.464,.382,.834,32.5,20.5,4.0,3.9,lavinza01
46,Kalin Lucas,Nov 19 '14 MEM @ TOR,25,2,2,12,0,2,0,1,2,2,0,3,1,1,0,0,2,2,.000,.000,1.000,6.0,1.0,1.5,0.5,lucaska01
47,Devyn Marble,Oct 28 '14 ORL @ NOP,22,2,44,457,35,115,12,54,15,40,11,69,29,22,3,16,39,97,.304,.222,.375,10.4,2.2,1.6,0.7,marblde01
48,James Michael McAdoo,Jan 19 '15 GSW vs. DEN,22,4,111,874,133,252,5,17,63,118,79,188,37,33,47,42,108,334,.528,.294,.534,7.9,3.0,1.7,0.3,mcadoja01
49,K.J. McDaniels,Oct 29 '14 PHI @ IND,21,3,148,2092,278,675,70,241,156,201,96,324,95,70,94,151,205,782,.412,.290,.776,14.1,5.3,2.2,0.6,mcdankj01
50,Doug McDermott,Oct 29 '14 CHI @ NYK,23,10,612,12676,2122,4481,883,2143,510,628,251,1399,623,134,61,415,917,5637,.474,.412,.812,20.7,9.2,2.3,1.0,mcderdo01
51,Mitch McGary,Dec 14 '14 OKC vs. PHO,22,2,52,557,99,188,0,6,29,50,57,183,17,17,18,38,82,227,.527,.000,.580,10.7,4.4,3.5,0.3,mcgarmi01
52,Jerel McNeal,Apr 2 '15 PHO @ GSW,27,1,6,36,3,11,1,2,2,2,0,3,2,3,1,5,5,9,.273,.500,1.000,6.0,1.5,0.5,0.3,mcneaje01
53,Elijah Millsap,Jan 5 '15 UTA vs. IND,27,3,69,1120,93,284,29,104,72,106,37,191,78,63,19,78,159,287,.327,.279,.679,16.2,4.2,2.8,1.1,millsel01
54,Nikola Mirotić,Oct 29 '14 CHI @ NYK,23,5,319,7718,1303,3084,614,1712,690,854,301,1894,407,240,228,381,666,3910,.423,.359,.808,24.2,12.3,5.9,1.3,mirotni01
55,Eric Moreland,Nov 26 '14 SAC @ HOU,23,4,83,898,73,136,1,1,13,33,88,310,83,32,56,50,130,160,.537,1.000,.394,10.8,1.9,3.7,1.0,moreler01
56,Shabazz Napier,Oct 29 '14 MIA vs. WAS,23,6,345,5986,808,2034,345,1000,472,579,104,657,849,286,48,452,404,2433,.397,.345,.815,17.4,7.1,1.9,2.5,napiesh01
57,Nerlens Noel,Oct 29 '14 PHI @ IND,20,9,467,10281,1375,2518,3,15,585,893,898,2835,501,588,683,593,1192,3338,.546,.200,.655,22.0,7.1,6.1,1.1,noelne01
58,Lucas Nogueira,Nov 21 '14 TOR vs. MIL,22,4,141,1754,182,288,9,34,73,114,120,388,72,89,144,75,221,446,.632,.265,.640,12.4,3.2,2.8,0.5,noguelu01
59,Jusuf Nurkić,Oct 29 '14 DEN vs. DET,20,10,487,11884,2357,4713,91,316,1196,1776,1234,4219,1146,439,562,1036,1558,6001,.500,.288,.673,24.4,12.3,8.7,2.4,nurkiju01
60,Johnny O'Bryant,Dec 17 '14 MIL @ POR,21,4,147,1684,213,530,18,50,65,98,129,352,69,32,19,77,199,509,.402,.360,.663,11.5,3.5,2.4,0.5,obryajo01
61,Kostas Papanikolaou,Oct 28 '14 HOU @ LAL,24,2,69,1089,93,263,41,138,22,32,47,158,101,42,18,76,95,249,.354,.297,.688,15.8,3.6,2.3,1.5,papanko01
62,Jabari Parker,Oct 29 '14 MIL @ CHO,19,8,310,8535,1767,3579,212,651,634,853,449,1703,610,271,118,534,627,4380,.494,.326,.743,27.5,14.1,5.5,2.0,parkeja01
63,Adreian Payne,Dec 26 '14 ATL vs. MIL,23,4,107,1403,174,429,15,59,66,97,79,315,66,45,27,90,203,429,.406,.254,.680,13.1,4.0,2.9,0.6,paynead01
64,Elfrid Payton,Oct 28 '14 ORL @ NOP,20,8,500,13383,2086,4666,190,662,674,1082,523,2007,2868,588,151,1084,1000,5036,.447,.287,.623,26.8,10.1,4.0,5.7,paytoel01
65,Dwight Powell,Nov 14 '14 BOS vs. CLE,23,10,607,11463,1673,2784,122,415,1047,1410,971,2722,623,381,276,425,1384,4515,.601,.294,.743,18.9,7.4,4.5,1.0,poweldw01
