Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
1,Cliff Alexander,Nov 15 '15 POR @ CHO,20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0,alexacl01
2,Justin Anderson,Oct 28 '15 DAL @ PHO,22,6,242,3280,454,1106,159,545,217,280,141,621,184,105,80,141,291,1284,.410,.292,.775,13.6,5.3,2.6,0.8,anderju01
3,Thanasis Antetokounmpo,Jan 29 '16 NYK vs. PHO,23,6,173,1413,188,372,9,62,72,134,124,299,102,50,28,98,191,457,.505,.145,.537,8.2,2.6,1.7,0.6,antetth01
4,Keith Appling,Jan 18 '16 ORL @ ATL,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2,applike01
5,Nemanja Bjelica,Oct 28 '15 MIN @ LAL,27,7,449,9172,1279,2746,498,1296,356,469,486,2051,826,288,184,459,1058,3412,.466,.384,.759,20.4,7.6,4.6,1.8,bjeline01
6,Devin Booker,Oct 28 '15 PHO vs. DAL,19,9,545,18434,4590,9945,1120,3128,2810,3229,307,2197,2645,460,153,1683,1619,13110,.462,.358,.870,33.8,24.1,4.0,4.9,bookede01
7,Anthony Brown,Oct 30 '15 LAL @ SAC,23,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161,.328,.286,.850,18.6,3.9,2.5,0.7,brownan02
8,Willie Cauley-Stein,Oct 28 '15 SAC vs. LAC,22,7,422,9276,1552,2853,6,32,565,923,694,2470,598,350,335,384,974,3675,.544,.188,.612,22.0,8.7,5.9,1.4,caulewi01
9,Rakeem Christmas,Apr 13 '16 IND @ MIL,24,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1,chrisra01
10,Coty Clarke,Mar 15 '16 BOS @ IND,23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0,clarkco01
11,Pat Connaughton,Oct 30 '15 POR @ PHO,23,9,496,9576,1113,2556,593,1653,220,285,348,1738,634,243,132,270,573,3039,.435,.359,.772,19.3,6.1,3.5,1.3,connapa01
12,Branden Dawson,Dec 28 '15 LAC @ WAS,22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0,dawsobr01
13,Bryce Dejean-Jones,Jan 21 '16 NOP vs. DET,23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1,dejeabr01
14,Sam Dekker,Oct 28 '15 HOU vs. DEN,21,5,201,3097,451,944,89,309,103,170,191,607,160,101,37,98,201,1094,.478,.288,.606,15.4,5.4,3.0,0.8,dekkesa01
15,Duje Dukan,Apr 13 '16 SAC @ HOU,24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0,dukandu01
